experiment,worm.number,Infection Date,wormStrain,sporeStrain,sporeDose,Spores(M)/cm2,doseLevel,spores,meronts,embryos,expTimepoint,infection.type,Total Worms,Plate Size,fixingDate,Staining Date,Slide date,Imaging Date
200707_N2_LUAm1_0M_72hpi,1,200704,N2,LUAm1,0,0,Mock,FALSE,FALSE,18,72,continuous,1000,6,200707,200803,200804,200806
200707_N2_LUAm1_10M_72hpi,1,200704,N2,LUAm1,10,0.353857042,Medium,FALSE,TRUE,7,72,continuous,1000,6,200707,200803,200804,200806
200707_JU1400_LUAm1_0M_72hpi,1,200704,JU1400,LUAm1,0,0,Mock,FALSE,FALSE,10,72,continuous,1000,6,200707,200803,200804,200806
200707_JU1400_LUAm1_10M_72hpi,1,200704,JU1400,LUAm1,10,0.353857042,Medium,FALSE,TRUE,0,72,continuous,1000,6,200707,200803,200804,200806
200707_ED3052A_LUAm1_0M_72hpi,1,200704,ED3052A,LUAm1,0,0,Mock,FALSE,FALSE,12,72,continuous,1000,6,200707,200803,200804,200806
200707_ED3052A_LUAm1_10M_72hpi,1,200704,ED3052A,LUAm1,10,0.353857042,Medium,FALSE,TRUE,0,72,continuous,1000,6,200707,200803,200804,200806
200707_ED3052B_LUAm1_0M_72hpi,1,200704,ED3052B,LUAm1,0,0,Mock,FALSE,FALSE,5,72,continuous,1000,6,200707,200803,200804,200806
200707_ED3052B_LUAm1_10M_72hpi,1,200704,ED3052B,LUAm1,10,0.353857042,Medium,FALSE,TRUE,9,72,continuous,1000,6,200707,200803,200804,200806
200707_MY1_LUAm1_0M_72hpi,1,200704,MY1,LUAm1,0,0,Mock,FALSE,FALSE,11,72,continuous,1000,6,200707,200803,200804,200806
200707_MY1_LUAm1_10M_72hpi,1,200704,MY1,LUAm1,10,0.353857042,Medium,FALSE,TRUE,0,72,continuous,1000,6,200707,200803,200804,200806
200707_N2_MAM1_4M_72hpi,1,200704,N2,MAM1,4,0.141542817,Medium,FALSE,TRUE,15,72,continuous,1000,6,200707,200803,200804,200806
200707_JU1400_MAM1_4M_72hpi,1,200704,JU1400,MAM1,4,0.141542817,Medium,TRUE,TRUE,2,72,continuous,1000,6,200707,200803,200804,200806
200707_N2_LUAm3_10M_72hpi,1,200704,N2,LUAm3,10,0.353857042,Medium,FALSE,TRUE,27,72,continuous,1000,6,200707,200803,200804,200806
200707_JU1400_LUAm3_10M_72hpi,1,200704,JU1400,LUAm3,10,0.353857042,Medium,FALSE,TRUE,0,72,continuous,1000,6,200707,200803,200804,200806
200707_N2_AWRm78_3.5M_72hpi,1,200704,N2,AWRm78,3.5,0.123849965,High,TRUE,TRUE,15,72,continuous,1000,6,200707,200803,200804,200806
200707_JU1400_AWRm78_3.5M_72hpi,1,200704,JU1400,AWRm78,3.5,0.123849965,High,FALSE,TRUE,0,72,continuous,1000,6,200707,200803,200804,200806
200707_N2_ERTm5_1.75M_72hpi,1,200704,N2,ERTm5,1.75,0.061924982,Medium,TRUE,TRUE,9,72,continuous,1000,6,200707,200803,200804,200806
200707_N2_ERTm5_3.5M_72hpi,1,200704,N2,ERTm5,3.5,0.123849965,High,TRUE,TRUE,1,72,continuous,1000,6,200707,200803,200804,200806
