exp.name	strain	spore.strain	spore.species	dose	spores	fixing.date	slide	file	worm.number	area	percent.infected	area.infected	timepoint
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	1	49838.02	18.53	9234.985106	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	2	50425.04	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	3	45532.67	31.16	14187.97997	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	4	46458.55	3.88	1802.59174	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	5	49214.73	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	6	39732.57	23.54	9353.046978	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	7	46445.35	1.65	766.348275	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	8	37570	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	9	47835.4	8.6	4113.8444	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	10	48308.64	18.57	8970.914448	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	11	45018.21	2.61	1174.975281	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	12	48314.41	6.17	2980.999097	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	13	42274.39	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	14	46192.24	11.75	5427.5882	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	15	47841.17	24.6	11768.92782	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	16	54775.74	12.64	6923.653536	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	17	49907.28	7.39	3688.147992	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	18	51371.53	12.13	6231.366589	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	19	46004.27	6.83	3142.091641	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	20	56162.49	6.35	3566.318115	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	21	36877.45	1.44	531.03528	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	22	61289	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	23	53928.19	4.29	2313.519351	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	24	55403.16	5.53	3063.794748	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	25	42755.05	3.33	1423.743165	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	26	49786.91	8.29	4127.334839	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	27	42260.38	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	28	43788.93	5.5	2408.39115	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	29	66987.7	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	30	48613.7	12.3	5979.4851	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	31	64561.3	5.04	3253.88952	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	32	61471.21	14.49	8907.178329	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	33	51706.26	7.4	3826.26324	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	34	50740.81	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	35	49611.3	4.89	2425.99257	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	36	51585.06	11.57	5968.391442	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	37	61552.83	3.54	2178.970182	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	38	56200.41	5.74	3225.903534	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	39	40576.82	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	40	42748.46	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	N2.LUAm1.rep1	41	56930.06	10.33	5880.875198	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	1	45357.89	7.8	3537.91542	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	2	52311.42	11.11	5811.798762	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	3	46403.31	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	4	41027.8	21.74	8919.44372	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	5	61903.23	10.5	6499.83915	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	6	46407.43	0.26	120.659318	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	7	54186.25	3.22	1744.79725	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	8	51533.95	2.77	1427.490415	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	9	48839.6	21.48	10490.74608	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	10	52935.54	17.98	9517.810092	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	11	77641.42	6.23	4837.060466	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	12	53873.78	8.56	4611.595568	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	13	62807.67	8.9	5589.88263	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	14	52087.16	6.49	3380.456684	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	15	67177.33	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	16	53503.59	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	17	50083.71	0	0	72hpi
